epoca,train_loss,train_acc,test_acc,tiempo_seg,mejor
20,1.6339,50.74,44.59,34.4,si
1,2.6774,21.51,30.80,43.1,si
21,1.6245,50.96,44.33,40.9,no
2,2.2129,35.44,37.79,41.3,si
22,1.6176,51.30,42.67,41.3,no
3,2.0524,39.60,39.96,41.3,si
23,1.6074,51.74,42.95,40.5,no
4,1.9714,41.70,38.54,41.4,no
24,1.6051,51.60,43.23,40.0,no
5,1.9124,43.40,42.10,38.9,si
25,1.5984,51.79,43.44,38.9,no
6,1.8704,44.46,43.25,38.8,si
26,1.5942,51.90,43.39,38.8,no
7,1.8396,45.22,41.72,38.8,no
27,1.5849,51.99,44.11,38.8,no
8,1.8100,46.13,43.37,38.8,si
28,1.5775,52.37,42.08,38.8,no
9,1.7891,46.63,42.00,38.7,no
29,1.5738,52.62,43.90,38.8,no
10,1.7631,47.32,42.32,38.8,no
30,1.5725,52.42,43.66,38.8,no
11,1.7490,47.70,43.55,38.8,si
31,1.5606,52.84,45.64,38.8,si
12,1.7293,48.17,44.16,38.7,si
32,1.5507,53.14,43.10,38.8,no
13,1.7145,48.67,43.97,39.0,no
33,1.5529,53.14,44.47,39.0,no
14,1.7008,48.78,43.95,38.8,no
34,1.5472,53.20,43.97,38.8,no
15,1.6900,49.21,44.58,39.0,si
35,1.5409,53.39,44.31,39.0,no
16,1.6763,49.72,44.48,38.8,no
36,1.5343,53.33,42.58,38.7,no
17,1.6663,50.06,42.49,38.8,no
37,1.5322,53.63,44.26,38.8,no
18,1.6559,50.15,44.53,38.8,no
38,1.5247,53.75,43.11,38.7,no
19,1.6459,50.32,44.35,38.7,no
39,1.5249,53.78,43.32,38.8,no
20,1.6347,50.82,44.80,38.8,si
40,1.5204,54.03,43.28,38.9,no
21,1.6261,50.94,44.11,38.9,no
41,1.5150,53.98,43.74,38.9,no
22,1.6190,51.27,44.47,38.9,no
42,1.5086,54.26,42.72,38.9,no
23,1.6132,51.37,42.27,39.0,no
43,1.5073,54.40,43.47,38.9,no
24,1.6086,51.51,43.96,38.7,no
44,1.5025,54.50,44.04,38.8,no
25,1.5993,51.83,42.79,38.8,no
45,1.4993,54.45,44.45,38.9,no
26,1.5952,52.02,41.96,38.9,no
46,1.4938,54.62,43.84,39.0,no
27,1.5854,52.20,44.31,39.0,no
47,1.4875,54.63,43.77,38.8,no
28,1.5781,52.31,42.58,38.8,no
48,1.4839,54.93,44.09,38.8,no
29,1.5738,52.49,44.37,39.1,no
49,1.4853,54.98,43.78,39.1,no
30,1.5668,52.51,43.92,38.9,no
50,1.4777,55.12,42.70,38.9,no
31,1.5564,52.94,44.80,31.1,no
32,1.5593,52.82,43.62,15.6,no
33,1.5554,52.96,44.32,15.6,no
34,1.5517,53.17,44.24,15.6,no
35,1.5392,53.51,43.35,15.6,no
36,1.5391,53.29,43.40,15.6,no
37,1.5329,53.74,43.22,15.6,no
38,1.5264,53.70,43.07,15.6,no
39,1.5233,53.87,42.92,15.6,no
40,1.5248,53.90,43.97,15.6,no
41,1.5142,53.94,44.34,15.6,no
42,1.5119,54.10,43.57,15.6,no
43,1.5050,54.40,43.75,15.6,no
44,1.5021,54.58,43.23,15.6,no
45,1.5009,54.33,43.26,15.6,no
46,1.4978,54.55,43.73,15.6,no
47,1.4894,54.82,43.53,15.6,no
48,1.4877,54.90,43.00,15.6,no
49,1.4845,54.78,43.45,15.6,no
50,1.4782,55.21,41.89,15.6,no
